,StudieName,StudieDescription,StudieEntryFee,StudieCoordinatorID,PlaceLimit
73,User-friendly needs-based firmware,"['Ustawa gardło silnik skrzydło wioska pas reakcja. Ostry niebieski ciekawy zeszły spotkać.', 'Róża scena kiedy. Dobro brak kierować zewnętrzny kilka.', 'Drapieżny instrument kobieta wysokość mama opłata dlaczego. Powstawać pismo dwanaście mięsień wszystkie. Przeciwny jakiś studia północny myśl.']",1500,414,71
74,Synergistic executive strategy,"['Młody chcieć reguła blisko wejście. 0 przykład wiara moc.', 'Żeby określony dla. Postawa pierś wymagać spodnie nowy liść okrągły.', 'Otrzymać wczoraj dzięki uśmiech widzieć Rosja. Policja czynność bydło rozwiązanie wynik pieniądz. Obejmować zachowanie opieka wiedza rysunek handel.']",1000,871,34
75,Organic tangible knowledgebase,"['Organ dzisiejszy siedzieć wygląd.', 'Nowy promień powstanie krótki natychmiast obowiązywać. Płaszcz pałac sąd udać się wolno terytorium. Uczyć próba ulegać przez wiersz.', 'Róża doświadczenie skała ludzki pszczoła. Szkoda punkt temu wspomnienie okrągły. Kierować kupować wioska niemiecki trawa Wielka Brytania. Przestępstwo maszyna zrobić wrócić.']",2000,648,35
76,Sharable composite infrastructure,"['Wysiłek cukier kto diabeł. Rzucać przedstawiciel pływać siedziba złapać uderzyć temu.', 'Leżeć spodnie Anglia 50. Właściwy policja granica przy.', 'Móc głos rower dotyczyć. Panna charakterystyczny miecz szczęśliwy kaczka jednocześnie bronić.']",3000,820,198
77,Profit-focused coherent approach,"['Dotyczyć metalowy należeć.', 'Oddać Indie fotografia żeński jakiś intensywny. Niemiecki górny wojskowy sprawiać powodować działanie prostytutka.', 'Rana ślad między no niedźwiedź dawny. Brudny środkowy głównie wiosna królewski deszcz.']",2000,643,171
78,Innovative multi-state analyzer,"['Podnosić plac złoty fałszywy. Klimat pragnienie większość surowy np. za pomocą dzielić.', 'Dostać piasek przedmiot kontrola rządzić wojna finansowy.', 'Większość most dusza sok. Tutaj pozostać włożyć bóg niewielki sztuka dlaczego. Śmierć zgodnie instytucja ubogi osiem książka ciągle paliwo.']",2000,389,201
79,Profit-focused 4thgeneration process improvement,"['Przechodzić morze miara wszystek daleki określenie czyjś. Łódź istota chory luty otwierać pochodzenie kalendarz. Sowa Morze Śródziemne pokazywać sprawa uderzyć podnosić bać się.', 'Poeta wynosić oznaczać hałas sygnał minister chęć. Duński alkohol Japonia parlament drzwi. Okręt próbować w kształcie.', 'Ruch dużo istotny siedemdziesiąt biedny. Stary miejsce wciąż wizyta.']",2500,354,122
80,Upgradable analyzing utilization,"['Natychmiast głośny futro. Pomoc zupa rzymski.', 'Słońce moralny użyć usta zdjęcie. Kierunek teraz chronić na przykład nic smutny produkt.', 'Klucz październik składnik pracownik dokonywać przechodzić alfabet zwyczaj. Żołnierz głupi przyrząd płaszcz małżeństwo posługiwać się drobny.']",1000,393,95
81,Ergonomic radical structure,"['Pisarz (…) wódka całkowity dziać się oddawać. Analiza bóg ? atmosfera. Ja stan wiek księga promień.', 'Ubranie ryż anioł. Otwierać wcześnie ptak uczyć się starać się pół ciepły ponieważ.', 'Nowy postawa ilość język wydawać. Blisko słowacki tajemnica ściana.']",3000,471,193
82,Reactive intermediate function,"['Szanowny dom południowy przed charakter zawartość działalność. Turecki dość przeszłość jedenaście serce religia.', 'Znajdować Się struktura dobry lud.', 'Produkcja spaść matka pełnić srebro charakter.']",1000,43,191
83,Ergonomic logistical budgetary management,"['Rosyjski król klimat. Dzielić lot zysk niedźwiedź anioł.', 'Przyjęcie uderzenie styl obchodzić gruby. Pozycja metoda sobota polityka członek.', 'Miód nie gdzie film kot. Nieść produkować linia bar nadawać.']",1000,846,39
84,Re-engineered hybrid approach,"['Jednostka zamknąć pomagać układ.', 'Głęboki wybuch ziemniak analiza.', 'Głos elektryczny dawno tytoń Czechy. Odmiana wymagać używać Boże Narodzenie wioska. Dać polityczny przejaw napisać często handlowy.']",3000,576,296
85,Function-based asynchronous archive,"['Hasło przyrząd zasada rządzić. Metal radość kłopot lekarz. Radio bilet sztuka kalendarz. Wstyd drewniany pewny pochodzenie.', 'Deska czwarty tańczyć śmierć wybitny gra nasienie. Port lotnisko mąż zjawisko budynek jeśli przyczyna. Planeta majątek materiał często mierzyć kość.', 'Norma wakacje no użyć zakończyć. Blady co kierować Bóg. Żołądek francuski pojechać pająk kot ojczyzna wszystek.']",1000,527,52
86,Right-sized upward-trending parallelism,"['Wolny ludzie wynosić wolno podawać. Skutek pierwiastek chemiczny okoliczność narząd ktoś. Otoczenie sukienka urząd uważać para pić toponim.', 'Stowarzyszenie 70 urodzić bieg bank. Pani stawiać handlowy ciąża doświadczenie zima skłonność. Zakład lekcja z powodu problem atmosfera katastrofa Austria żywność.', 'Kolega pracować ładny pożar. Wakacje mieszkanie odwaga.']",1000,521,132
87,Profit-focused homogeneous archive,"['W Kształcie odpowiedni królestwo bilet królowa dopiero. Styl trawa jadalny niebo gwałtowny cześć podobny towarzystwo. Połączenie pojazd tylko rozpocząć gospodarczy środowisko minister Australia.', 'Afryka herb olej znany wisieć błąd. Obchodzić pozycja artystyczny dla tytuł Kościół.', 'Rodzaj pojemnik ósmy 60. Europejski bułgarski naukowy kult męski towar związek większość.']",2000,796,162
88,Virtual secondary array,"['Zboże krowa trzeci przerwa wyścig Morze Śródziemne mur dawny. Podstawowy prostytutka narząd dokonywać. Dziecięcy biec wykonanie zimno. Sam dziesięć symbol lata pożar urządzenie.', 'Lotniczy krowa walczyć ciasto. Alkohol zająć członek ze twardy pomoc chronić.', 'Chory z szczęśliwy budzić gdyby. Epoka posiłek bezpieczeństwo dodać ziemski działać angielski. Słoneczny po rodzaj wyrób październik włosy organ.']",2000,721,203
89,Synergistic impactful parallelism,"['Sam Pan taniec wprowadzać ciemny. Metr pełny region kraj. Rozmiar punkt Polska odpowiedź róża staw zdanie.', 'Spotkanie ? ofiara o. Lustro jabłko skóra wychodzić on udział okoliczność.', 'Zimny ich stół autor. Wrażenie surowy lecz pociąg. Amerykański masło dyrektor zgodny siostra produkować mądry europejski.']",2000,136,161
90,Secured clear-thinking forecast,"['Napisać robić zaraz świnia zamieszkiwać oś. Dziób kino hodować ocean poniedziałek.', 'Ciotka zdolny określony wszystek zabawka artysta. Urodzić Się żelazo świeca otaczać postawa czy wewnętrzny. Ładny główny wyjście więzienie.', 'Bycie przybyć bardzo się opisać słuchać. Zegar 6 sztuczny zawodowy świecić artysta budzić. Spokojny bezpośrednio Węgry Jezus ucho gatunek ptak.']",2000,675,88
91,Programmable interactive function,"['Poczta bronić pomiędzy przepis wydać na zewnątrz św.. Pan niezwykły powód organ. Ilość komórka odcień kierowca.', 'Albo ojciec ogromny noga minerał nieprzyjemny podstawowy. Wyjście mały fabryka spowodować łatwo źle. Zdobyć syn egzamin zawierać dokładnie.', 'Położenie pytanie znosić zdrowie. Szef żółty świątynia przyjąć wilk tłum. Walka udać się ile brzeg siódmy wojskowy.']",2500,366,133
92,Up-sized maximized structure,"['Kapelusz bo głupek wreszcie planeta. Europa zamieszkiwać liczba atomowa kawa.', 'Podobny tekst pojawić się wynosić ulica. Mózg Australia wzór wspólny kończyć przyczyna warzywo.', 'Usługa oficjalny pan dialekt blisko katolicki zamknąć przez. W Czasie korzystać doświadczenie ubogi podstawowy paliwo byk. Właśnie stado czwartek królowa wyłącznie lew.']",2500,655,30
93,Customer-focused neutral system engine,"['Afryka sklep właściciel szybko. 100 bitwa sprzęt gołąb liczny Morze Śródziemne. Znak niski urzędnik. Byk Niemiec złożyć.', 'Grób herb jądro wpływ. Mieszkać dom święty samiec odwaga kalendarz ząb umieszczać. Przyjść centrum telefon prosić sklep chronić utwór.', 'Wywodzić Się szczególny podczas szacunek 10 zakon. Chmura broń lista dopiero przestępstwo niebezpieczeństwo dziura. Kalendarz dowód przechodzić pomagać dotyczyć wrócić rodzaj średni.']",2000,846,104
94,Stand-alone intangible matrices,"['Spadać znaczny możliwość słownik niechęć wspólny mięsień. Jasny radio polski Ukraina kwiat.', 'Pięć podnosić biuro ciepły nie zainteresowanie.', 'Rzymski restauracja niewielki. Pole uczyć szczyt brudny morski sąsiad dłoń członek. Bogini gospodarczy wnętrze nagle.']",1000,361,218
95,Ameliorated intangible process improvement,"['Czuć koszula ile ogród. Przeprowadzać wycieczka pani masa graniczyć jeździć trzy. Żółty oś stary pozostawać. Komputer wrogość Austria mapa czerwiec smutek.', 'Wysoki herb przypadek Afryka centrum.', 'Dopływ bo tradycja. Bajka powszechny zamieszkiwać gniazdo sala. Mięso przyjechać dokonywać.']",2000,94,123
96,Distributed incremental moderator,"['Ważny powolny wszystkie czekolada. Kiedyś cecha piasek miejscowość jabłko.', 'Sztuczny tu miejski ktoś. W Kształcie temu plemię trudność napisać.', 'Turecki głośny ludzki podatek złapać broń obowiązek. Mieszkaniec dłoń dno skutek Stany Zjednoczone dyskusja szybki rolnik.']",1500,234,113
97,Cross-group fresh-thinking help-desk,"['Ciepły Afryka rolnik rząd filmowy przyczyna. Kolumna dom zaburzenie.', 'Zapalenie sklep policja radiowy. Królowa rynek przeszkoda duch zbiornik tam paliwo.', 'Natura pacjent Białoruś religijny zmęczony rysunek niedźwiedź. Wartość gdyby Turcja (…) przyprawa. Określony jedenaście pisarz czyn.']",2000,758,164
98,Innovative optimizing installation,"['Zajmować Się tańczyć łódź także wschodni płaski. Narząd sztuka towarzystwo ósmy utrzymywać przestępstwo.', 'Wydawać narkotyk kierowca krzesło uważać ci. Dość święty no praca film. Prosty w powiedzieć matematyka grać prawny. Spadać przykład dusza pieśń ciąża skała.', 'Czarny przeciwny stanowić dorosły maszyna obejmować. Mięso grzech specjalista. Środkowy mężczyzna znajdować wygląd.']",1000,773,224
